"Id";"Date";"HomeTeam";"HomeScore";"VisitingTeam";"VisitingScore";"Link"
1;"October 3 19:00 CET";"Khimki Moscow Region";"89";"Maccabi FOX Tel Aviv";"83";"https://www.euroleague.net/main/results/showgame?gamecode=1&seasoncode=E2019"
2;"October 3 20:00 CET";"Panathinaikos OPAP Athens";"87";"Crvena Zvezda mts Belgrade";"82";"https://www.euroleague.net/main/results/showgame?gamecode=8&seasoncode=E2019"
3;"October 3 20:30 CET";"FC Bayern Munich";"78";"AX Armani Exchange Milan";"64";"https://www.euroleague.net/main/results/showgame?gamecode=2&seasoncode=E2019"
4;"October 3 21:00 CET";"Real Madrid";"81";"Fenerbahce Beko Istanbul";"77";"https://www.euroleague.net/main/results/showgame?gamecode=4&seasoncode=E2019"
5;"October 4 19:00 CET";"Zalgiris Kaunas";"58";"KIROLBET Baskonia Vitoria-Gasteiz";"70";"https://www.euroleague.net/main/results/showgame?gamecode=5&seasoncode=E2019"
6;"October 4 19:30 CET";"Anadolu Efes Istanbul";"64";"FC Barcelona";"74";"https://www.euroleague.net/main/results/showgame?gamecode=6&seasoncode=E2019"
7;"October 4 20:00 CET";"ALBA Berlin";"85";"Zenit St Petersburg";"65";"https://www.euroleague.net/main/results/showgame?gamecode=7&seasoncode=E2019"
8;"October 4 20:45 CET";"LDLC ASVEL Villeurbanne";"82";"Olympiacos Piraeus";"63";"https://www.euroleague.net/main/results/showgame?gamecode=3&seasoncode=E2019"
9;"October 4 21:00 CET";"Valencia Basket";"71";"CSKA Moscow";"96";"https://www.euroleague.net/main/results/showgame?gamecode=9&seasoncode=E2019"
10;"October 10 19:00 CET";"CSKA Moscow";"79";"FC Bayern Munich";"68";"https://www.euroleague.net/main/results/showgame?gamecode=11&seasoncode=E2019"
11;"October 10 19:00 CET";"Crvena Zvezda mts Belgrade";"68";"Fenerbahce Beko Istanbul";"56";"https://www.euroleague.net/main/results/showgame?gamecode=10&seasoncode=E2019"
12;"October 10 20:45 CET";"LDLC ASVEL Villeurbanne";"79";"Panathinaikos OPAP Athens";"78";"https://www.euroleague.net/main/results/showgame?gamecode=13&seasoncode=E2019"
13;"October 10 21:00 CET";"Real Madrid";"86";"Maccabi FOX Tel Aviv";"85";"https://www.euroleague.net/main/results/showgame?gamecode=14&seasoncode=E2019"
14;"October 11 19:00 CET";"Zenit St Petersburg";"63";"FC Barcelona";"87";"https://www.euroleague.net/main/results/showgame?gamecode=12&seasoncode=E2019"
15;"October 11 19:00 CET";"Khimki Moscow Region";"79";"KIROLBET Baskonia Vitoria-Gasteiz";"76";"https://www.euroleague.net/main/results/showgame?gamecode=15&seasoncode=E2019"
16;"October 11 19:30 CET";"Anadolu Efes Istanbul";"106";"ALBA Berlin";"105";"https://www.euroleague.net/main/results/showgame?gamecode=16&seasoncode=E2019"
17;"October 11 20:30 CET";"Olympiacos Piraeus";"89";"Valencia Basket";"63";"https://www.euroleague.net/main/results/showgame?gamecode=17&seasoncode=E2019"
18;"October 11 20:45 CET";"AX Armani Exchange Milan";"85";"Zalgiris Kaunas";"81";"https://www.euroleague.net/main/results/showgame?gamecode=18&seasoncode=E2019"
19;"October 17 19:00 CET";"CSKA Moscow";"99";"Khimki Moscow Region";"86";"https://www.euroleague.net/main/results/showgame?gamecode=19&seasoncode=E2019"
20;"October 17 19:00 CET";"Zalgiris Kaunas";"86";"Real Madrid";"73";"https://www.euroleague.net/main/results/showgame?gamecode=20&seasoncode=E2019"
21;"October 17 19:45 CET";"Fenerbahce Beko Istanbul";"87";"KIROLBET Baskonia Vitoria-Gasteiz";"80";"https://www.euroleague.net/main/results/showgame?gamecode=21&seasoncode=E2019"
22;"October 17 20:15 CET";"Maccabi FOX Tel Aviv";"84";"Crvena Zvezda mts Belgrade";"69";"https://www.euroleague.net/main/results/showgame?gamecode=22&seasoncode=E2019"
23;"October 17 20:30 CET";"FC Bayern Munich";"104";"LDLC ASVEL Villeurbanne";"63";"https://www.euroleague.net/main/results/showgame?gamecode=23&seasoncode=E2019"
24;"October 17 20:30 CET";"Panathinaikos OPAP Athens";"78";"AX Armani Exchange Milan";"79";"https://www.euroleague.net/main/results/showgame?gamecode=24&seasoncode=E2019"
25;"October 18 20:30 CET";"Olympiacos Piraeus";"68";"Zenit St Petersburg";"77";"https://www.euroleague.net/main/results/showgame?gamecode=25&seasoncode=E2019"
26;"October 18 21:00 CET";"FC Barcelona";"103";"ALBA Berlin";"84";"https://www.euroleague.net/main/results/showgame?gamecode=26&seasoncode=E2019"
27;"October 18 21:00 CET";"Valencia Basket";"78";"Anadolu Efes Istanbul";"83";"https://www.euroleague.net/main/results/showgame?gamecode=27&seasoncode=E2019"
28;"October 24 19:00 CET";"Zenit St Petersburg";"79";"Panathinaikos OPAP Athens";"89";"https://www.euroleague.net/main/results/showgame?gamecode=28&seasoncode=E2019"
29;"October 24 19:15 CET";"Anadolu Efes Istanbul";"76";"Real Madrid";"60";"https://www.euroleague.net/main/results/showgame?gamecode=29&seasoncode=E2019"
30;"October 24 20:05 CET";"Maccabi FOX Tel Aviv";"76";"Valencia Basket";"63";"https://www.euroleague.net/main/results/showgame?gamecode=30&seasoncode=E2019"
31;"October 24 20:30 CET";"FC Bayern Munich";"74";"Khimki Moscow Region";"87";"https://www.euroleague.net/main/results/showgame?gamecode=31&seasoncode=E2019"
32;"October 24 21:00 CET";"Crvena Zvezda mts Belgrade";"65";"FC Barcelona";"73";"https://www.euroleague.net/main/results/showgame?gamecode=32&seasoncode=E2019"
33;"October 25 19:00 CET";"Zalgiris Kaunas";"70";"LDLC ASVEL Villeurbanne";"56";"https://www.euroleague.net/main/results/showgame?gamecode=33&seasoncode=E2019"
34;"October 25 20:00 CET";"ALBA Berlin";"66";"CSKA Moscow";"82";"https://www.euroleague.net/main/results/showgame?gamecode=34&seasoncode=E2019"
35;"October 25 20:45 CET";"AX Armani Exchange Milan";"87";"Fenerbahce Beko Istanbul";"74";"https://www.euroleague.net/main/results/showgame?gamecode=35&seasoncode=E2019"
36;"October 25 21:00 CET";"KIROLBET Baskonia Vitoria-Gasteiz";"82";"Olympiacos Piraeus";"66";"https://www.euroleague.net/main/results/showgame?gamecode=36&seasoncode=E2019"
37;"October 29 18:00 CET";"Khimki Moscow Region";"103";"Panathinaikos OPAP Athens";"86";"https://www.euroleague.net/main/results/showgame?gamecode=37&seasoncode=E2019"
38;"October 29 18:30 CET";"Anadolu Efes Istanbul";"85";"Crvena Zvezda mts Belgrade";"70";"https://www.euroleague.net/main/results/showgame?gamecode=38&seasoncode=E2019"
39;"October 29 20:00 CET";"ALBA Berlin";"78";"AX Armani Exchange Milan";"81";"https://www.euroleague.net/main/results/showgame?gamecode=39&seasoncode=E2019"
40;"October 29 20:45 CET";"LDLC ASVEL Villeurbanne";"66";"KIROLBET Baskonia Vitoria-Gasteiz";"63";"https://www.euroleague.net/main/results/showgame?gamecode=40&seasoncode=E2019"
41;"October 30 18:00 CET";"CSKA Moscow";"79";"Olympiacos Piraeus";"84";"https://www.euroleague.net/main/results/showgame?gamecode=42&seasoncode=E2019"
42;"October 30 19:00 CET";"Zalgiris Kaunas";"70";"Zenit St Petersburg";"82";"https://www.euroleague.net/main/results/showgame?gamecode=43&seasoncode=E2019"
43;"October 30 20:05 CET";"Maccabi FOX Tel Aviv";"67";"Fenerbahce Beko Istanbul";"55";"https://www.euroleague.net/main/results/showgame?gamecode=44&seasoncode=E2019"
44;"October 30 20:30 CET";"FC Bayern Munich";"95";"Real Madrid";"86";"https://www.euroleague.net/main/results/showgame?gamecode=45&seasoncode=E2019"
45;"October 30 21:00 CET";"FC Barcelona";"83";"Valencia Basket";"77";"https://www.euroleague.net/main/results/showgame?gamecode=41&seasoncode=E2019"
46;"October 31 19:00 CET";"Crvena Zvezda mts Belgrade";"90";"Khimki Moscow Region";"78";"https://www.euroleague.net/main/results/showgame?gamecode=46&seasoncode=E2019"
47;"October 31 20:00 CET";"Panathinaikos OPAP Athens";"86";"Anadolu Efes Istanbul";"70";"https://www.euroleague.net/main/results/showgame?gamecode=47&seasoncode=E2019"
48;"November 1 18:00 CET";"Zenit St Petersburg";"70";"CSKA Moscow";"87";"https://www.euroleague.net/main/results/showgame?gamecode=50&seasoncode=E2019"
49;"November 1 18:45 CET";"Fenerbahce Beko Istanbul";"76";"Zalgiris Kaunas";"79";"https://www.euroleague.net/main/results/showgame?gamecode=51&seasoncode=E2019"
50;"November 1 19:00 CET";"Valencia Basket";"81";"LDLC ASVEL Villeurbanne";"72";"https://www.euroleague.net/main/results/showgame?gamecode=49&seasoncode=E2019"
51;"November 1 20:00 CET";"AX Armani Exchange Milan";"83";"FC Barcelona";"70";"https://www.euroleague.net/main/results/showgame?gamecode=48&seasoncode=E2019"
52;"November 1 20:30 CET";"Olympiacos Piraeus";"65";"Maccabi FOX Tel Aviv";"90";"https://www.euroleague.net/main/results/showgame?gamecode=52&seasoncode=E2019"
53;"November 1 21:00 CET";"KIROLBET Baskonia Vitoria-Gasteiz";"93";"FC Bayern Munich";"60";"https://www.euroleague.net/main/results/showgame?gamecode=53&seasoncode=E2019"
54;"November 1 21:00 CET";"Real Madrid";"85";"ALBA Berlin";"71";"https://www.euroleague.net/main/results/showgame?gamecode=54&seasoncode=E2019"
55;"November 7 18:00 CET";"Zenit St Petersburg";"73";"Khimki Moscow Region";"87";"https://www.euroleague.net/main/results/showgame?gamecode=60&seasoncode=E2019"
56;"November 7 19:00 CET";"Crvena Zvezda mts Belgrade";"60";"Real Madrid";"75";"https://www.euroleague.net/main/results/showgame?gamecode=55&seasoncode=E2019"
57;"November 7 20:00 CET";"Olympiacos Piraeus";"67";"Anadolu Efes Istanbul";"86";"https://www.euroleague.net/main/results/showgame?gamecode=56&seasoncode=E2019"
58;"November 7 20:05 CET";"Maccabi FOX Tel Aviv";"104";"ALBA Berlin";"78";"https://www.euroleague.net/main/results/showgame?gamecode=57&seasoncode=E2019"
59;"November 7 20:45 CET";"AX Armani Exchange Milan";"81";"KIROLBET Baskonia Vitoria-Gasteiz";"74";"https://www.euroleague.net/main/results/showgame?gamecode=58&seasoncode=E2019"
60;"November 8 18:45 CET";"Fenerbahce Beko Istanbul";"90";"FC Bayern Munich";"82";"https://www.euroleague.net/main/results/showgame?gamecode=61&seasoncode=E2019"
61;"November 8 19:00 CET";"Zalgiris Kaunas";"86";"FC Barcelona";"93";"https://www.euroleague.net/main/results/showgame?gamecode=62&seasoncode=E2019"
62;"November 8 20:30 CET";"Panathinaikos OPAP Athens";"91";"Valencia Basket";"80";"https://www.euroleague.net/main/results/showgame?gamecode=63&seasoncode=E2019"
63;"November 8 20:45 CET";"LDLC ASVEL Villeurbanne";"67";"CSKA Moscow";"66";"https://www.euroleague.net/main/results/showgame?gamecode=59&seasoncode=E2019"
64;"November 14 18:00 CET";"Khimki Moscow Region";"87";"AX Armani Exchange Milan";"79";"https://www.euroleague.net/main/results/showgame?gamecode=64&seasoncode=E2019"
65;"November 14 18:30 CET";"Anadolu Efes Istanbul";"90";"Zenit St Petersburg";"88";"https://www.euroleague.net/main/results/showgame?gamecode=65&seasoncode=E2019"
66;"November 14 20:00 CET";"Panathinaikos OPAP Athens";"105";"ALBA Berlin";"106";"https://www.euroleague.net/main/results/showgame?gamecode=66&seasoncode=E2019"
67;"November 14 21:00 CET";"KIROLBET Baskonia Vitoria-Gasteiz";"83";"Maccabi FOX Tel Aviv";"113";"https://www.euroleague.net/main/results/showgame?gamecode=72&seasoncode=E2019"
68;"November 14 21:00 CET";"Real Madrid";"86";"FC Barcelona";"76";"https://www.euroleague.net/main/results/showgame?gamecode=67&seasoncode=E2019"
69;"November 15 18:00 CET";"CSKA Moscow";"88";"Fenerbahce Beko Istanbul";"70";"https://www.euroleague.net/main/results/showgame?gamecode=68&seasoncode=E2019"
70;"November 15 19:00 CET";"Crvena Zvezda mts Belgrade";"72";"LDLC ASVEL Villeurbanne";"74";"https://www.euroleague.net/main/results/showgame?gamecode=69&seasoncode=E2019"
71;"November 15 20:30 CET";"Olympiacos Piraeus";"83";"Zalgiris Kaunas";"74";"https://www.euroleague.net/main/results/showgame?gamecode=70&seasoncode=E2019"
72;"November 15 21:00 CET";"Valencia Basket";"82";"FC Bayern Munich";"56";"https://www.euroleague.net/main/results/showgame?gamecode=71&seasoncode=E2019"
73;"November 19 18:30 CET";"Zalgiris Kaunas";"85";"Panathinaikos OPAP Athens";"86";"https://www.euroleague.net/main/results/showgame?gamecode=73&seasoncode=E2019"
74;"November 19 20:00 CET";"ALBA Berlin";"93";"Crvena Zvezda mts Belgrade";"80";"https://www.euroleague.net/main/results/showgame?gamecode=74&seasoncode=E2019"
75;"November 19 20:30 CET";"FC Bayern Munich";"85";"Olympiacos Piraeus";"82";"https://www.euroleague.net/main/results/showgame?gamecode=75&seasoncode=E2019"
76;"November 19 20:45 CET";"LDLC ASVEL Villeurbanne";"84";"Anadolu Efes Istanbul";"90";"https://www.euroleague.net/main/results/showgame?gamecode=76&seasoncode=E2019"
77;"November 19 20:45 CET";"AX Armani Exchange Milan";"92";"Maccabi FOX Tel Aviv";"88";"https://www.euroleague.net/main/results/showgame?gamecode=79&seasoncode=E2019"
78;"November 19 21:00 CET";"Real Madrid";"104";"Khimki Moscow Region";"76";"https://www.euroleague.net/main/results/showgame?gamecode=77&seasoncode=E2019"
79;"November 19 21:00 CET";"Valencia Basket";"94";"Zenit St Petersburg";"90";"https://www.euroleague.net/main/results/showgame?gamecode=78&seasoncode=E2019"
80;"November 20 21:00 CET";"FC Barcelona";"89";"Fenerbahce Beko Istanbul";"63";"https://www.euroleague.net/main/results/showgame?gamecode=80&seasoncode=E2019"
81;"November 20 21:00 CET";"KIROLBET Baskonia Vitoria-Gasteiz";"80";"CSKA Moscow";"70";"https://www.euroleague.net/main/results/showgame?gamecode=81&seasoncode=E2019"
82;"November 21 19:00 CET";"Zalgiris Kaunas";"59";"Crvena Zvezda mts Belgrade";"61";"https://www.euroleague.net/main/results/showgame?gamecode=82&seasoncode=E2019"
83;"November 21 20:00 CET";"ALBA Berlin";"80";"Olympiacos Piraeus";"99";"https://www.euroleague.net/main/results/showgame?gamecode=83&seasoncode=E2019"
84;"November 21 20:45 CET";"AX Armani Exchange Milan";"76";"Anadolu Efes Istanbul";"81";"https://www.euroleague.net/main/results/showgame?gamecode=86&seasoncode=E2019"
85;"November 21 21:00 CET";"Valencia Basket";"89";"Khimki Moscow Region";"84";"https://www.euroleague.net/main/results/showgame?gamecode=84&seasoncode=E2019"
86;"November 22 20:30 CET";"FC Bayern Munich";"75";"Panathinaikos OPAP Athens";"87";"https://www.euroleague.net/main/results/showgame?gamecode=85&seasoncode=E2019"
87;"November 22 20:45 CET";"LDLC ASVEL Villeurbanne";"72";"Fenerbahce Beko Istanbul";"88";"https://www.euroleague.net/main/results/showgame?gamecode=87&seasoncode=E2019"
88;"November 22 21:00 CET";"FC Barcelona";"96";"Maccabi FOX Tel Aviv";"73";"https://www.euroleague.net/main/results/showgame?gamecode=88&seasoncode=E2019"
89;"November 22 21:00 CET";"KIROLBET Baskonia Vitoria-Gasteiz";"70";"Zenit St Petersburg";"60";"https://www.euroleague.net/main/results/showgame?gamecode=89&seasoncode=E2019"
90;"November 22 21:00 CET";"Real Madrid";"97";"CSKA Moscow";"81";"https://www.euroleague.net/main/results/showgame?gamecode=90&seasoncode=E2019"
91;"November 28 18:45 CET";"Fenerbahce Beko Istanbul";"89";"Khimki Moscow Region";"76";"https://www.euroleague.net/main/results/showgame?gamecode=91&seasoncode=E2019"
92;"November 28 19:00 CET";"Crvena Zvezda mts Belgrade";"76";"Valencia Basket";"73";"https://www.euroleague.net/main/results/showgame?gamecode=92&seasoncode=E2019"
93;"November 28 20:00 CET";"ALBA Berlin";"69";"Zalgiris Kaunas";"62";"https://www.euroleague.net/main/results/showgame?gamecode=93&seasoncode=E2019"
94;"November 28 20:00 CET";"Panathinaikos OPAP Athens";"100";"KIROLBET Baskonia Vitoria-Gasteiz";"68";"https://www.euroleague.net/main/results/showgame?gamecode=94&seasoncode=E2019"
95;"November 28 20:05 CET";"Maccabi FOX Tel Aviv";"93";"LDLC ASVEL Villeurbanne";"62";"https://www.euroleague.net/main/results/showgame?gamecode=95&seasoncode=E2019"
96;"November 29 18:00 CET";"Zenit St Petersburg";"71";"Real Madrid";"86";"https://www.euroleague.net/main/results/showgame?gamecode=96&seasoncode=E2019"
97;"November 29 18:30 CET";"Anadolu Efes Istanbul";"104";"FC Bayern Munich";"75";"https://www.euroleague.net/main/results/showgame?gamecode=97&seasoncode=E2019"
98;"November 29 20:30 CET";"Olympiacos Piraeus";"91";"AX Armani Exchange Milan";"70";"https://www.euroleague.net/main/results/showgame?gamecode=98&seasoncode=E2019"
99;"November 29 21:00 CET";"FC Barcelona";"67";"CSKA Moscow";"96";"https://www.euroleague.net/main/results/showgame?gamecode=99&seasoncode=E2019"
100;"December 5 18:00 CET";"CSKA Moscow";"85";"Zalgiris Kaunas";"82";"https://www.euroleague.net/main/results/showgame?gamecode=100&seasoncode=E2019"
101;"December 5 20:05 CET";"Maccabi FOX Tel Aviv";"77";"FC Bayern Munich";"55";"https://www.euroleague.net/main/results/showgame?gamecode=101&seasoncode=E2019"
102;"December 5 20:45 CET";"AX Armani Exchange Milan";"67";"Crvena Zvezda mts Belgrade";"77";"https://www.euroleague.net/main/results/showgame?gamecode=102&seasoncode=E2019"
103;"December 5 21:00 CET";"Real Madrid";"111";"Valencia Basket";"99";"https://www.euroleague.net/main/results/showgame?gamecode=103&seasoncode=E2019"
104;"December 6 18:00 CET";"Zenit St Petersburg";"75";"LDLC ASVEL Villeurbanne";"70";"https://www.euroleague.net/main/results/showgame?gamecode=105&seasoncode=E2019"
105;"December 6 18:00 CET";"Khimki Moscow Region";"94";"FC Barcelona";"102";"https://www.euroleague.net/main/results/showgame?gamecode=104&seasoncode=E2019"
106;"December 6 18:45 CET";"Fenerbahce Beko Istanbul";"107";"ALBA Berlin";"102";"https://www.euroleague.net/main/results/showgame?gamecode=106&seasoncode=E2019"
107;"December 6 20:30 CET";"Panathinaikos OPAP Athens";"99";"Olympiacos Piraeus";"93";"https://www.euroleague.net/main/results/showgame?gamecode=107&seasoncode=E2019"
108;"December 6 21:00 CET";"KIROLBET Baskonia Vitoria-Gasteiz";"77";"Anadolu Efes Istanbul";"102";"https://www.euroleague.net/main/results/showgame?gamecode=108&seasoncode=E2019"
109;"December 12 18:00 CET";"Khimki Moscow Region";"104";"ALBA Berlin";"87";"https://www.euroleague.net/main/results/showgame?gamecode=109&seasoncode=E2019"
110;"December 12 18:45 CET";"Fenerbahce Beko Istanbul";"73";"Anadolu Efes Istanbul";"81";"https://www.euroleague.net/main/results/showgame?gamecode=110&seasoncode=E2019"
111;"December 12 19:00 CET";"Crvena Zvezda mts Belgrade";"64";"KIROLBET Baskonia Vitoria-Gasteiz";"72";"https://www.euroleague.net/main/results/showgame?gamecode=111&seasoncode=E2019"
112;"December 12 20:05 CET";"Maccabi FOX Tel Aviv";"90";"CSKA Moscow";"80";"https://www.euroleague.net/main/results/showgame?gamecode=112&seasoncode=E2019"
113;"December 12 21:00 CET";"Real Madrid";"93";"Olympiacos Piraeus";"77";"https://www.euroleague.net/main/results/showgame?gamecode=113&seasoncode=E2019"
114;"December 13 19:00 CET";"Zalgiris Kaunas";"82";"Valencia Basket";"86";"https://www.euroleague.net/main/results/showgame?gamecode=114&seasoncode=E2019"
115;"December 13 20:30 CET";"FC Bayern Munich";"77";"Zenit St Petersburg";"69";"https://www.euroleague.net/main/results/showgame?gamecode=115&seasoncode=E2019"
116;"December 13 20:45 CET";"LDLC ASVEL Villeurbanne";"89";"AX Armani Exchange Milan";"82";"https://www.euroleague.net/main/results/showgame?gamecode=116&seasoncode=E2019"
117;"December 13 21:00 CET";"FC Barcelona";"98";"Panathinaikos OPAP Athens";"86";"https://www.euroleague.net/main/results/showgame?gamecode=117&seasoncode=E2019"
118;"December 17 18:00 CET";"Zenit St Petersburg";"71";"Maccabi FOX Tel Aviv";"82";"https://www.euroleague.net/main/results/showgame?gamecode=118&seasoncode=E2019"
119;"December 17 19:00 CET";"Zalgiris Kaunas";"68";"Anadolu Efes Istanbul";"74";"https://www.euroleague.net/main/results/showgame?gamecode=119&seasoncode=E2019"
120;"December 17 20:00 CET";"Real Madrid";"76";"AX Armani Exchange Milan";"67";"https://www.euroleague.net/main/results/showgame?gamecode=121&seasoncode=E2019"
121;"December 17 20:00 CET";"Panathinaikos OPAP Athens";"81";"Fenerbahce Beko Istanbul";"78";"https://www.euroleague.net/main/results/showgame?gamecode=120&seasoncode=E2019"
122;"December 17 21:00 CET";"FC Barcelona";"80";"LDLC ASVEL Villeurbanne";"67";"https://www.euroleague.net/main/results/showgame?gamecode=126&seasoncode=E2019"
123;"December 17 21:00 CET";"Valencia Basket";"105";"KIROLBET Baskonia Vitoria-Gasteiz";"77";"https://www.euroleague.net/main/results/showgame?gamecode=122&seasoncode=E2019"
124;"December 18 18:00 CET";"CSKA Moscow";"100";"Crvena Zvezda mts Belgrade";"74";"https://www.euroleague.net/main/results/showgame?gamecode=123&seasoncode=E2019"
125;"December 18 20:00 CET";"ALBA Berlin";"76";"FC Bayern Munich";"77";"https://www.euroleague.net/main/results/showgame?gamecode=124&seasoncode=E2019"
126;"December 18 20:00 CET";"Olympiacos Piraeus";"109";"Khimki Moscow Region";"98";"https://www.euroleague.net/main/results/showgame?gamecode=125&seasoncode=E2019"
